No,Sample No,Batch No,Registration No / Reference No,Product Name,Lab,Source,Result,Priority,Received Date,Expected Date
1,2020090011,20B1445,MAL18096050TC,BIOBAY JOINGARD Capsule,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
2,2020090012,20216DT11,MAL20021505T,Tropical Herbs Formulation For Women,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
3,2020090013,E030149/01,MAL18106083T,Sido Muncul Tolak Angin Herbal Liquid with Honey and Mint Plus,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
4,2020090014,111019,MAL20034055T,KONICARE CAJUPUTI OIL,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
5,2020090015,PRCA200001,MAL18076087T,DXN Ros L Powder,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
6,2020090016,CMKB202006,MAL18106106T,DXN Mengkudu 350mg Capsule,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
7,2020090017,PLGA190014,MAL18116036T,DXN Ligno-L Powder,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
8,2020090018,CBCB202009,MAL08111855T,DXN Black Cumin Plus,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
9,2020090019,TBBB200010,MAL20032489T,DXN Bee Pollen 294mg Tablet,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
10,2020090020,PGBA200002,MAL20032094T,BEE POLLEN,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
11,2020090021,WCF20E01G,MAL20033777T,HUACHI GOLD BRAND CHUI FENG SO HUP WAN,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
12,2020090022,FSC91201D,MAL20034342T,FU SHEN HANG CLASSIC PAI FENG WAN,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110)
